(AP) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ], 0.173, 0.143, 0.145, 0.157, 0.174, 0.191, 0.209, 0.221, 0.191, 0.203, 0.220, 0.221, 0.231, 0.235, 0.244, 0.253, 0.254, 0.240, 0.246, 0.249, 0.258, 0.258, 0.260, 0.251, 0.256, 0.258, 0.251, 0.256, 0.255, 0.253, 0.259, 0.260, 0.261, 0.261, 0.261, 0.255, 0.259, 0.260, 0.256, 0.261
(AP) @[ IoU=0.50      | area=   all | maxDets=100 ], 0.311, 0.269, 0.271, 0.302, 0.316, 0.314, 0.369, 0.356, 0.359, 0.366, 0.372, 0.375, 0.413, 0.404, 0.428, 0.430, 0.425, 0.406, 0.417, 0.421, 0.427, 0.429, 0.432, 0.429, 0.424, 0.434, 0.426, 0.431, 0.425, 0.430, 0.430, 0.428, 0.428, 0.431, 0.432, 0.427, 0.428, 0.430, 0.427, 0.431
(AP) @[ IoU=0.75      | area=   all | maxDets=100 ], 0.156, 0.128, 0.141, 0.146, 0.195, 0.181, 0.205, 0.252, 0.196, 0.215, 0.216, 0.256, 0.241, 0.243, 0.241, 0.267, 0.264, 0.243, 0.257, 0.247, 0.252, 0.259, 0.253, 0.256, 0.272, 0.265, 0.257, 0.262, 0.262, 0.261, 0.257, 0.265, 0.269, 0.273, 0.272, 0.260, 0.271, 0.269, 0.261, 0.269
(AP) @[ IoU=0.50:0.95 | area= small | maxDets=100 ], 0.009, 0.013, 0.024, 0.015, 0.029, 0.052, 0.042, 0.035, 0.044, 0.054, 0.047, 0.039, 0.041, 0.058, 0.061, 0.074, 0.068, 0.053, 0.076, 0.073, 0.071, 0.072, 0.074, 0.072, 0.074, 0.072, 0.072, 0.072, 0.072, 0.073, 0.072, 0.073, 0.072, 0.074, 0.072, 0.073, 0.072, 0.072, 0.073, 0.073
(AP) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ], 0.166, 0.141, 0.141, 0.182, 0.152, 0.166, 0.205, 0.237, 0.197, 0.223, 0.236, 0.214, 0.256, 0.258, 0.283, 0.264, 0.272, 0.264, 0.282, 0.268, 0.281, 0.292, 0.291, 0.294, 0.290, 0.288, 0.281, 0.300, 0.296, 0.293, 0.297, 0.293, 0.301, 0.303, 0.303, 0.303, 0.302, 0.301, 0.303, 0.304
(AP) @[ IoU=0.50:0.95 | area= large | maxDets=100 ], 0.314, 0.279, 0.259, 0.293, 0.326, 0.342, 0.376, 0.372, 0.324, 0.354, 0.386, 0.393, 0.394, 0.380, 0.391, 0.407, 0.410, 0.393, 0.397, 0.403, 0.412, 0.406, 0.407, 0.390, 0.403, 0.413, 0.400, 0.399, 0.401, 0.396, 0.402, 0.403, 0.406, 0.405, 0.401, 0.391, 0.405, 0.402, 0.393, 0.405
(AR) @[ IoU=0.50:0.95 | area=   all | maxDets=  1 ], 0.187, 0.152, 0.181, 0.174, 0.181, 0.202, 0.233, 0.226, 0.202, 0.231, 0.228, 0.225, 0.236, 0.233, 0.245, 0.254, 0.250, 0.238, 0.249, 0.249, 0.250, 0.251, 0.261, 0.243, 0.248, 0.250, 0.250, 0.251, 0.251, 0.248, 0.257, 0.256, 0.260, 0.258, 0.259, 0.252, 0.257, 0.258, 0.254, 0.258
(AR) @[ IoU=0.50:0.95 | area=   all | maxDets= 10 ], 0.224, 0.217, 0.253, 0.269, 0.242, 0.300, 0.312, 0.322, 0.278, 0.304, 0.304, 0.309, 0.325, 0.325, 0.330, 0.350, 0.333, 0.331, 0.348, 0.342, 0.328, 0.340, 0.338, 0.326, 0.339, 0.340, 0.330, 0.341, 0.340, 0.337, 0.338, 0.338, 0.344, 0.343, 0.342, 0.337, 0.342, 0.341, 0.338, 0.341
(AR) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ], 0.231, 0.222, 0.261, 0.274, 0.248, 0.308, 0.320, 0.328, 0.288, 0.311, 0.315, 0.318, 0.331, 0.335, 0.341, 0.359, 0.345, 0.343, 0.361, 0.353, 0.340, 0.351, 0.350, 0.339, 0.350, 0.352, 0.341, 0.354, 0.352, 0.349, 0.351, 0.351, 0.355, 0.356, 0.354, 0.350, 0.354, 0.353, 0.351, 0.355
(AR) @[ IoU=0.50:0.95 | area= small | maxDets=100 ], 0.012, 0.023, 0.033, 0.023, 0.034, 0.069, 0.049, 0.039, 0.053, 0.069, 0.062, 0.053, 0.050, 0.071, 0.074, 0.107, 0.083, 0.062, 0.101, 0.099, 0.094, 0.096, 0.095, 0.093, 0.099, 0.096, 0.096, 0.098, 0.094, 0.099, 0.095, 0.096, 0.094, 0.097, 0.095, 0.096, 0.095, 0.095, 0.095, 0.095
(AR) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ], 0.206, 0.198, 0.220, 0.283, 0.192, 0.270, 0.283, 0.298, 0.272, 0.309, 0.334, 0.273, 0.336, 0.332, 0.363, 0.349, 0.342, 0.347, 0.370, 0.380, 0.360, 0.373, 0.370, 0.373, 0.369, 0.362, 0.369, 0.376, 0.373, 0.374, 0.373, 0.370, 0.378, 0.379, 0.377, 0.379, 0.376, 0.375, 0.378, 0.380
(AR) @[ IoU=0.50:0.95 | area= large | maxDets=100 ], 0.399, 0.400, 0.432, 0.426, 0.435, 0.469, 0.506, 0.509, 0.437, 0.465, 0.483, 0.521, 0.515, 0.511, 0.523, 0.529, 0.530, 0.521, 0.535, 0.512, 0.508, 0.521, 0.504, 0.496, 0.515, 0.533, 0.499, 0.517, 0.521, 0.513, 0.515, 0.520, 0.516, 0.517, 0.515, 0.506, 0.518, 0.515, 0.510, 0.515
