(AP) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ], 0.125, 0.146, 0.133, 0.178, 0.175, 0.187, 0.181, 0.189, 0.193, 0.222, 0.227, 0.231, 0.233, 0.207, 0.226, 0.233, 0.221, 0.242, 0.240, 0.240
(AP) @[ IoU=0.50      | area=   all | maxDets=100 ], 0.265, 0.291, 0.243, 0.327, 0.307, 0.318, 0.320, 0.326, 0.322, 0.402, 0.395, 0.383, 0.389, 0.383, 0.379, 0.391, 0.391, 0.409, 0.409, 0.413
(AP) @[ IoU=0.75      | area=   all | maxDets=100 ], 0.115, 0.126, 0.148, 0.188, 0.150, 0.192, 0.190, 0.199, 0.202, 0.210, 0.240, 0.224, 0.227, 0.209, 0.237, 0.257, 0.226, 0.259, 0.251, 0.241
(AP) @[ IoU=0.50:0.95 | area= small | maxDets=100 ], 0.013, 0.012, 0.026, 0.038, 0.014, 0.051, 0.056, 0.061, 0.039, 0.034, 0.077, 0.086, 0.067, 0.052, 0.078, 0.047, 0.061, 0.062, 0.063, 0.053
(AP) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ], 0.099, 0.128, 0.104, 0.203, 0.142, 0.185, 0.166, 0.160, 0.175, 0.232, 0.228, 0.227, 0.237, 0.233, 0.230, 0.221, 0.223, 0.244, 0.252, 0.252
(AP) @[ IoU=0.50:0.95 | area= large | maxDets=100 ], 0.278, 0.269, 0.257, 0.295, 0.339, 0.306, 0.328, 0.332, 0.357, 0.400, 0.378, 0.385, 0.385, 0.344, 0.389, 0.413, 0.391, 0.398, 0.406, 0.401
(AR) @[ IoU=0.50:0.95 | area=   all | maxDets=  1 ], 0.126, 0.153, 0.156, 0.182, 0.184, 0.199, 0.208, 0.189, 0.212, 0.224, 0.227, 0.222, 0.249, 0.202, 0.257, 0.226, 0.222, 0.249, 0.250, 0.269
(AR) @[ IoU=0.50:0.95 | area=   all | maxDets= 10 ], 0.194, 0.201, 0.208, 0.264, 0.268, 0.278, 0.299, 0.275, 0.285, 0.301, 0.323, 0.326, 0.340, 0.292, 0.337, 0.333, 0.310, 0.354, 0.346, 0.360
(AR) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ], 0.197, 0.217, 0.219, 0.271, 0.274, 0.289, 0.306, 0.279, 0.295, 0.308, 0.333, 0.334, 0.348, 0.300, 0.345, 0.340, 0.318, 0.364, 0.356, 0.370
(AR) @[ IoU=0.50:0.95 | area= small | maxDets=100 ], 0.017, 0.040, 0.033, 0.045, 0.020, 0.055, 0.071, 0.068, 0.048, 0.048, 0.089, 0.111, 0.083, 0.064, 0.099, 0.064, 0.095, 0.097, 0.092, 0.074
(AR) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ], 0.121, 0.173, 0.151, 0.260, 0.267, 0.283, 0.280, 0.220, 0.250, 0.310, 0.321, 0.305, 0.341, 0.318, 0.302, 0.340, 0.293, 0.349, 0.341, 0.363
(AR) @[ IoU=0.50:0.95 | area= large | maxDets=100 ], 0.378, 0.359, 0.406, 0.397, 0.438, 0.434, 0.458, 0.445, 0.474, 0.472, 0.494, 0.481, 0.482, 0.453, 0.520, 0.525, 0.516, 0.540, 0.541, 0.545











