(AP) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ], 0.116, 0.124, 0.106, 0.158, 0.192, 0.158, 0.176, 0.189, 0.194, 0.213, 0.214, 0.199, 0.246, 0.221, 0.233, 0.234, 0.253, 0.238, 0.250, 0.249
(AP) @[ IoU=0.50      | area=   all | maxDets=100 ], 0.255, 0.269, 0.213, 0.318, 0.320, 0.304, 0.316, 0.339, 0.331, 0.353, 0.361, 0.370, 0.404, 0.367, 0.385, 0.399, 0.419, 0.405, 0.446, 0.421
(AP) @[ IoU=0.75      | area=   all | maxDets=100 ], 0.094, 0.103, 0.092, 0.159, 0.197, 0.158, 0.140, 0.176, 0.207, 0.247, 0.225, 0.174, 0.275, 0.245, 0.251, 0.224, 0.250, 0.248, 0.249, 0.241
(AP) @[ IoU=0.50:0.95 | area= small | maxDets=100 ], 0.022, 0.039, 0.002, 0.017, 0.052, 0.026, 0.046, 0.030, 0.063, 0.025, 0.036, 0.035, 0.070, 0.027, 0.068, 0.050, 0.054, 0.044, 0.062, 0.032
(AP) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ], 0.136, 0.136, 0.113, 0.156, 0.167, 0.153, 0.198, 0.175, 0.184, 0.231, 0.212, 0.249, 0.254, 0.289, 0.243, 0.265, 0.241, 0.260, 0.267, 0.278
(AP) @[ IoU=0.50:0.95 | area= large | maxDets=100 ], 0.228, 0.251, 0.230, 0.307, 0.355, 0.295, 0.314, 0.333, 0.344, 0.389, 0.364, 0.335, 0.373, 0.369, 0.378, 0.378, 0.387, 0.389, 0.405, 0.379
(AR) @[ IoU=0.50:0.95 | area=   all | maxDets=  1 ], 0.148, 0.159, 0.133, 0.181, 0.203, 0.174, 0.186, 0.188, 0.192, 0.219, 0.204, 0.233, 0.235, 0.247, 0.231, 0.254, 0.243, 0.238, 0.251, 0.257
(AR) @[ IoU=0.50:0.95 | area=   all | maxDets= 10 ], 0.212, 0.212, 0.187, 0.214, 0.285, 0.247, 0.262, 0.252, 0.283, 0.285, 0.273, 0.317, 0.335, 0.337, 0.338, 0.338, 0.330, 0.330, 0.348, 0.352
(AR) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ], 0.216, 0.223, 0.195, 0.220, 0.295, 0.254, 0.274, 0.261, 0.292, 0.290, 0.280, 0.325, 0.341, 0.343, 0.347, 0.347, 0.335, 0.342, 0.357, 0.359
(AR) @[ IoU=0.50:0.95 | area= small | maxDets=100 ], 0.026, 0.045, 0.006, 0.030, 0.061, 0.030, 0.053, 0.037, 0.073, 0.033, 0.050, 0.045, 0.088, 0.035, 0.078, 0.062, 0.062, 0.057, 0.076, 0.044
(AR) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ], 0.187, 0.177, 0.160, 0.194, 0.268, 0.222, 0.271, 0.237, 0.244, 0.284, 0.282, 0.336, 0.349, 0.359, 0.340, 0.357, 0.319, 0.363, 0.338, 0.364
(AR) @[ IoU=0.50:0.95 | area= large | maxDets=100 ], 0.357, 0.381, 0.363, 0.380, 0.470, 0.415, 0.426, 0.439, 0.475, 0.472, 0.450, 0.483, 0.479, 0.498, 0.546, 0.506, 0.503, 0.517, 0.547, 0.540











