(AP) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ], 0.131, 0.129, 0.131, 0.166, 0.168, 0.168, 0.187, 0.200, 0.193, 0.223, 0.199, 0.234, 0.207, 0.220, 0.225, 0.245, 0.231, 0.248, 0.250, 0.238
(AP) @[ IoU=0.50      | area=   all | maxDets=100 ], 0.243, 0.282, 0.250, 0.294, 0.312, 0.303, 0.341, 0.325, 0.354, 0.394, 0.355, 0.423, 0.368, 0.390, 0.370, 0.425, 0.379, 0.424, 0.414, 0.389
(AP) @[ IoU=0.75      | area=   all | maxDets=100 ], 0.134, 0.112, 0.108, 0.194, 0.175, 0.160, 0.181, 0.220, 0.181, 0.202, 0.214, 0.239, 0.196, 0.221, 0.251, 0.263, 0.243, 0.282, 0.285, 0.255
(AP) @[ IoU=0.50:0.95 | area= small | maxDets=100 ], 0.030, 0.009, 0.013, 0.016, 0.022, 0.017, 0.018, 0.032, 0.064, 0.032, 0.047, 0.061, 0.050, 0.049, 0.057, 0.063, 0.042, 0.059, 0.054, 0.042
(AP) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ], 0.114, 0.155, 0.128, 0.148, 0.196, 0.136, 0.192, 0.192, 0.196, 0.242, 0.223, 0.221, 0.203, 0.233, 0.283, 0.281, 0.262, 0.274, 0.280, 0.264
(AP) @[ IoU=0.50:0.95 | area= large | maxDets=100 ], 0.240, 0.241, 0.258, 0.309, 0.309, 0.331, 0.317, 0.359, 0.358, 0.368, 0.355, 0.359, 0.352, 0.388, 0.374, 0.396, 0.383, 0.399, 0.408, 0.405
(AR) @[ IoU=0.50:0.95 | area=   all | maxDets=  1 ], 0.151, 0.159, 0.129, 0.188, 0.163, 0.185, 0.192, 0.180, 0.219, 0.225, 0.236, 0.237, 0.196, 0.225, 0.245, 0.237, 0.231, 0.237, 0.242, 0.245
(AR) @[ IoU=0.50:0.95 | area=   all | maxDets= 10 ], 0.223, 0.197, 0.196, 0.271, 0.251, 0.242, 0.262, 0.294, 0.284, 0.322, 0.301, 0.313, 0.291, 0.324, 0.356, 0.341, 0.323, 0.321, 0.341, 0.355
(AR) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ], 0.229, 0.213, 0.201, 0.284, 0.255, 0.255, 0.269, 0.305, 0.291, 0.327, 0.312, 0.327, 0.301, 0.332, 0.369, 0.350, 0.330, 0.334, 0.349, 0.364
(AR) @[ IoU=0.50:0.95 | area= small | maxDets=100 ], 0.033, 0.016, 0.021, 0.020, 0.027, 0.030, 0.025, 0.039, 0.075, 0.041, 0.060, 0.071, 0.061, 0.069, 0.067, 0.079, 0.050, 0.070, 0.067, 0.054
(AR) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ], 0.187, 0.231, 0.185, 0.241, 0.245, 0.214, 0.275, 0.284, 0.257, 0.330, 0.311, 0.287, 0.315, 0.315, 0.393, 0.360, 0.345, 0.358, 0.358, 0.379
(AR) @[ IoU=0.50:0.95 | area= large | maxDets=100 ], 0.375, 0.327, 0.366, 0.490, 0.416, 0.440, 0.424, 0.504, 0.461, 0.503, 0.495, 0.491, 0.469, 0.498, 0.546, 0.534, 0.488, 0.495, 0.527, 0.524











