Average Precision  (AP) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ], 0.131, 0.137, 0.126, 0.178, 0.172, 0.128, 0.187, 0.191, 0.212, 0.208, 0.204, 0.204, 0.210, 0.203, 0.208, 0.212, 0.216, 0.207, 0.211, 0.212
Average Precision  (AP) @[ IoU=0.50      | area=   all | maxDets=100 ], 0.281, 0.250, 0.226, 0.312, 0.312, 0.249, 0.337, 0.342, 0.361, 0.357, 0.353, 0.362, 0.367, 0.361, 0.353, 0.379, 0.381, 0.373, 0.376, 0.379
Average Precision  (AP) @[ IoU=0.75      | area=   all | maxDets=100 ], 0.113, 0.121, 0.119, 0.168, 0.183, 0.100, 0.148, 0.189, 0.224, 0.220, 0.228, 0.182, 0.210, 0.198, 0.231, 0.205, 0.216, 0.204, 0.214, 0.214
Average Precision  (AP) @[ IoU=0.50:0.95 | area= small | maxDets=100 ], 0.014, 0.013, 0.011, 0.033, 0.045, 0.019, 0.029, 0.024, 0.057, 0.035, 0.045, 0.033, 0.039, 0.051, 0.054, 0.044, 0.060, 0.047, 0.048, 0.040
Average Precision  (AP) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ], 0.157, 0.090, 0.105, 0.186, 0.178, 0.159, 0.204, 0.204, 0.227, 0.237, 0.229, 0.265, 0.249, 0.236, 0.238, 0.239, 0.251, 0.236, 0.248, 0.254
Average Precision  (AP) @[ IoU=0.50:0.95 | area= large | maxDets=100 ], 0.249, 0.289, 0.273, 0.333, 0.319, 0.277, 0.334, 0.368, 0.345, 0.377, 0.355, 0.359, 0.364, 0.356, 0.366, 0.367, 0.369, 0.365, 0.370, 0.369
Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets=  1 ], 0.144, 0.144, 0.144, 0.192, 0.184, 0.161, 0.202, 0.205, 0.214, 0.225, 0.233, 0.203, 0.221, 0.217, 0.229, 0.221, 0.219, 0.219, 0.218, 0.220
Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets= 10 ], 0.190, 0.192, 0.187, 0.271, 0.271, 0.238, 0.287, 0.281, 0.311, 0.302, 0.308, 0.297, 0.305, 0.282, 0.318, 0.296, 0.308, 0.302, 0.292, 0.289
Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ], 0.195, 0.198, 0.190, 0.281, 0.282, 0.249, 0.295, 0.288, 0.316, 0.312, 0.317, 0.309, 0.310, 0.295, 0.325, 0.307, 0.320, 0.317, 0.304, 0.298
Average Recall     (AR) @[ IoU=0.50:0.95 | area= small | maxDets=100 ], 0.018, 0.018, 0.014, 0.053, 0.051, 0.030, 0.037, 0.027, 0.062, 0.043, 0.068, 0.038, 0.063, 0.063, 0.096, 0.076, 0.113, 0.096, 0.058, 0.050
Average Recall     (AR) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ], 0.199, 0.122, 0.138, 0.269, 0.248, 0.301, 0.275, 0.266, 0.321, 0.352, 0.301, 0.354, 0.311, 0.331, 0.350, 0.321, 0.351, 0.332, 0.339, 0.339
Average Recall     (AR) @[ IoU=0.50:0.95 | area= large | maxDets=100 ], 0.334, 0.407, 0.355, 0.442, 0.459, 0.395, 0.473, 0.479, 0.454, 0.472, 0.476, 0.467, 0.460, 0.449, 0.463, 0.452, 0.452, 0.466, 0.469, 0.454
