(AP) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ], 0.114, 0.154, 0.133, 0.203, 0.171, 0.176, 0.192, 0.218, 0.220, 0.244, 0.212, 0.219, 0.245, 0.228, 0.255, 0.262, 0.256, 0.247, 0.252, 0.260, 0.252, 0.258, 0.257, 0.258, 0.257, 0.260, 0.250, 0.258, 0.247, 0.253, 0.263, 0.257, 0.259, 0.257, 0.260, 0.259, 0.257, 0.259, 0.258, 0.260
(AP) @[ IoU=0.50      | area=   all | maxDets=100 ], 0.242, 0.299, 0.243, 0.345, 0.319, 0.315, 0.362, 0.399, 0.390, 0.413, 0.386, 0.386, 0.447, 0.416, 0.427, 0.448, 0.457, 0.432, 0.424, 0.448, 0.414, 0.454, 0.436, 0.437, 0.433, 0.439, 0.444, 0.432, 0.429, 0.432, 0.453, 0.449, 0.453, 0.449, 0.454, 0.451, 0.454, 0.454, 0.452, 0.454
(AP) @[ IoU=0.75      | area=   all | maxDets=100 ], 0.091, 0.132, 0.137, 0.227, 0.166, 0.161, 0.173, 0.182, 0.228, 0.262, 0.216, 0.233, 0.248, 0.221, 0.288, 0.267, 0.262, 0.240, 0.244, 0.255, 0.262, 0.259, 0.259, 0.279, 0.258, 0.266, 0.244, 0.269, 0.259, 0.260, 0.270, 0.261, 0.266, 0.255, 0.262, 0.256, 0.257, 0.257, 0.256, 0.262
(AP) @[ IoU=0.50:0.95 | area= small | maxDets=100 ], 0.005, 0.003, 0.027, 0.019, 0.025, 0.008, 0.031, 0.055, 0.048, 0.069, 0.052, 0.042, 0.050, 0.060, 0.082, 0.088, 0.082, 0.072, 0.086, 0.081, 0.071, 0.076, 0.072, 0.088, 0.081, 0.084, 0.078, 0.080, 0.084, 0.087, 0.079, 0.079, 0.082, 0.083, 0.082, 0.082, 0.083, 0.082, 0.083, 0.082
(AP) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ], 0.132, 0.145, 0.172, 0.175, 0.180, 0.184, 0.231, 0.237, 0.256, 0.264, 0.227, 0.237, 0.278, 0.272, 0.242, 0.312, 0.261, 0.272, 0.304, 0.283, 0.287, 0.276, 0.281, 0.284, 0.259, 0.287, 0.265, 0.261, 0.282, 0.282, 0.265, 0.284, 0.283, 0.280, 0.282, 0.281, 0.280, 0.281, 0.280, 0.280
(AP) @[ IoU=0.50:0.95 | area= large | maxDets=100 ], 0.230, 0.278, 0.255, 0.378, 0.313, 0.320, 0.334, 0.380, 0.365, 0.379, 0.371, 0.354, 0.383, 0.395, 0.424, 0.399, 0.425, 0.400, 0.393, 0.408, 0.407, 0.397, 0.399, 0.411, 0.405, 0.401, 0.386, 0.409, 0.387, 0.390, 0.413, 0.401, 0.402, 0.400, 0.406, 0.403, 0.400, 0.404, 0.404, 0.408
(AR) @[ IoU=0.50:0.95 | area=   all | maxDets=  1 ], 0.137, 0.184, 0.173, 0.216, 0.200, 0.178, 0.211, 0.215, 0.219, 0.239, 0.215, 0.223, 0.249, 0.253, 0.260, 0.280, 0.271, 0.261, 0.265, 0.272, 0.262, 0.268, 0.268, 0.265, 0.255, 0.270, 0.249, 0.257, 0.253, 0.263, 0.261, 0.268, 0.269, 0.268, 0.273, 0.269, 0.272, 0.271, 0.269, 0.274
(AR) @[ IoU=0.50:0.95 | area=   all | maxDets= 10 ], 0.176, 0.234, 0.226, 0.288, 0.256, 0.251, 0.314, 0.319, 0.319, 0.343, 0.298, 0.325, 0.344, 0.360, 0.348, 0.367, 0.359, 0.353, 0.362, 0.339, 0.374, 0.355, 0.367, 0.373, 0.349, 0.360, 0.333, 0.350, 0.355, 0.361, 0.346, 0.357, 0.356, 0.357, 0.358, 0.357, 0.353, 0.357, 0.357, 0.358
(AR) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ], 0.186, 0.243, 0.236, 0.300, 0.265, 0.259, 0.327, 0.328, 0.328, 0.349, 0.305, 0.335, 0.351, 0.369, 0.355, 0.376, 0.368, 0.362, 0.375, 0.348, 0.384, 0.368, 0.377, 0.381, 0.357, 0.369, 0.345, 0.360, 0.364, 0.370, 0.357, 0.367, 0.365, 0.366, 0.368, 0.367, 0.365, 0.366, 0.366, 0.367
(AR) @[ IoU=0.50:0.95 | area= small | maxDets=100 ], 0.011, 0.008, 0.044, 0.034, 0.034, 0.012, 0.045, 0.064, 0.058, 0.082, 0.059, 0.057, 0.060, 0.070, 0.100, 0.114, 0.117, 0.086, 0.111, 0.102, 0.112, 0.102, 0.098, 0.112, 0.105, 0.109, 0.101, 0.107, 0.108, 0.109, 0.107, 0.107, 0.107, 0.107, 0.106, 0.106, 0.106, 0.106, 0.107, 0.106
(AR) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ], 0.181, 0.203, 0.222, 0.265, 0.243, 0.220, 0.361, 0.325, 0.354, 0.335, 0.313, 0.309, 0.360, 0.363, 0.331, 0.383, 0.359, 0.352, 0.351, 0.349, 0.379, 0.354, 0.351, 0.353, 0.324, 0.357, 0.339, 0.332, 0.356, 0.356, 0.329, 0.352, 0.355, 0.352, 0.347, 0.346, 0.346, 0.345, 0.345, 0.345
