(AP) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ], 0.135, 0.146, 0.145, 0.160, 0.160, 0.186, 0.190, 0.204, 0.200, 0.229, 0.215, 0.220, 0.242, 0.256, 0.201, 0.238, 0.242, 0.246, 0.247, 0.245
(AP) @[ IoU=0.50      | area=   all | maxDets=100 ], 0.258, 0.289, 0.275, 0.310, 0.315, 0.327, 0.327, 0.335, 0.370, 0.372, 0.361, 0.365, 0.393, 0.420, 0.381, 0.413, 0.409, 0.412, 0.429, 0.419
(AP) @[ IoU=0.75      | area=   all | maxDets=100 ], 0.120, 0.131, 0.124, 0.168, 0.155, 0.187, 0.179, 0.229, 0.191, 0.244, 0.217, 0.231, 0.244, 0.279, 0.161, 0.239, 0.235, 0.254, 0.232, 0.229
(AP) @[ IoU=0.50:0.95 | area= small | maxDets=100 ], 0.005, 0.012, 0.007, 0.027, 0.039, 0.031, 0.034, 0.030, 0.049, 0.046, 0.038, 0.045, 0.042, 0.068, 0.048, 0.045, 0.045, 0.053, 0.054, 0.055
(AP) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ], 0.148, 0.121, 0.113, 0.178, 0.176, 0.187, 0.199, 0.172, 0.206, 0.231, 0.231, 0.257, 0.275, 0.236, 0.238, 0.258, 0.263, 0.243, 0.278, 0.299
(AP) @[ IoU=0.50:0.95 | area= large | maxDets=100 ], 0.253, 0.283, 0.288, 0.260, 0.281, 0.329, 0.362, 0.365, 0.327, 0.386, 0.383, 0.355, 0.385, 0.454, 0.338, 0.396, 0.403, 0.415, 0.399, 0.400
(AR) @[ IoU=0.50:0.95 | area=   all | maxDets=  1 ], 0.161, 0.167, 0.180, 0.177, 0.171, 0.197, 0.204, 0.226, 0.195, 0.233, 0.240, 0.226, 0.235, 0.278, 0.203, 0.243, 0.251, 0.221, 0.230, 0.254
(AR) @[ IoU=0.50:0.95 | area=   all | maxDets= 10 ], 0.207, 0.212, 0.226, 0.224, 0.232, 0.272, 0.274, 0.277, 0.297, 0.315, 0.330, 0.324, 0.336, 0.381, 0.307, 0.333, 0.338, 0.340, 0.330, 0.346
(AR) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ], 0.210, 0.216, 0.232, 0.231, 0.239, 0.279, 0.279, 0.281, 0.306, 0.325, 0.340, 0.333, 0.342, 0.391, 0.314, 0.344, 0.349, 0.347, 0.338, 0.357
(AR) @[ IoU=0.50:0.95 | area= small | maxDets=100 ], 0.014, 0.016, 0.016, 0.031, 0.044, 0.038, 0.040, 0.041, 0.063, 0.055, 0.064, 0.075, 0.052, 0.080, 0.059, 0.056, 0.056, 0.067, 0.069, 0.067
(AR) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ], 0.188, 0.148, 0.149, 0.225, 0.233, 0.296, 0.229, 0.234, 0.340, 0.330, 0.314, 0.396, 0.359, 0.416, 0.332, 0.331, 0.351, 0.352, 0.341, 0.386
(AR) @[ IoU=0.50:0.95 | area= large | maxDets=100 ], 0.350, 0.396, 0.430, 0.366, 0.355, 0.437, 0.466, 0.473, 0.440, 0.503, 0.537, 0.465, 0.510, 0.568, 0.454, 0.527, 0.548, 0.540, 0.520, 0.524











