(AP) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ], 0.134, 0.135, 0.135, 0.176, 0.148, 0.162, 0.168, 0.188, 0.176, 0.215, 0.215, 0.206, 0.209, 0.224, 0.205, 0.240, 0.235, 0.226, 0.235, 0.229
(AP) @[ IoU=0.50      | area=   all | maxDets=100 ], 0.275, 0.270, 0.273, 0.319, 0.276, 0.291, 0.304, 0.337, 0.315, 0.364, 0.364, 0.373, 0.373, 0.374, 0.358, 0.430, 0.413, 0.410, 0.417, 0.404
(AP) @[ IoU=0.75      | area=   all | maxDets=100 ], 0.125, 0.102, 0.116, 0.181, 0.143, 0.139, 0.146, 0.210, 0.163, 0.239, 0.196, 0.179, 0.187, 0.236, 0.214, 0.249, 0.231, 0.202, 0.216, 0.216
(AP) @[ IoU=0.50:0.95 | area= small | maxDets=100 ], 0.015, 0.011, 0.012, 0.050, 0.014, 0.009, 0.022, 0.023, 0.029, 0.053, 0.022, 0.036, 0.051, 0.044, 0.049, 0.032, 0.059, 0.073, 0.052, 0.062
(AP) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ], 0.129, 0.133, 0.110, 0.145, 0.139, 0.152, 0.185, 0.187, 0.178, 0.212, 0.232, 0.222, 0.214, 0.217, 0.203, 0.290, 0.227, 0.279, 0.264, 0.247
(AP) @[ IoU=0.50:0.95 | area= large | maxDets=100 ], 0.264, 0.247, 0.275, 0.330, 0.291, 0.311, 0.314, 0.327, 0.327, 0.336, 0.374, 0.356, 0.371, 0.373, 0.360, 0.385, 0.399, 0.358, 0.391, 0.388
(AR) @[ IoU=0.50:0.95 | area=   all | maxDets=  1 ], 0.181, 0.143, 0.123, 0.171, 0.168, 0.202, 0.168, 0.211, 0.202, 0.221, 0.201, 0.208, 0.206, 0.222, 0.211, 0.254, 0.240, 0.251, 0.242, 0.248
(AR) @[ IoU=0.50:0.95 | area=   all | maxDets= 10 ], 0.223, 0.205, 0.194, 0.225, 0.249, 0.248, 0.259, 0.279, 0.257, 0.317, 0.299, 0.292, 0.296, 0.337, 0.278, 0.355, 0.360, 0.342, 0.354, 0.330
(AR) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ], 0.231, 0.211, 0.200, 0.230, 0.255, 0.255, 0.264, 0.287, 0.269, 0.329, 0.305, 0.307, 0.305, 0.347, 0.284, 0.362, 0.368, 0.349, 0.360, 0.339
(AR) @[ IoU=0.50:0.95 | area= small | maxDets=100 ], 0.029, 0.018, 0.017, 0.060, 0.023, 0.020, 0.030, 0.030, 0.046, 0.060, 0.032, 0.046, 0.060, 0.060, 0.061, 0.057, 0.093, 0.084, 0.081, 0.079
(AR) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ], 0.179, 0.181, 0.167, 0.209, 0.204, 0.221, 0.259, 0.253, 0.253, 0.341, 0.298, 0.325, 0.303, 0.323, 0.309, 0.355, 0.331, 0.370, 0.338, 0.354
(AR) @[ IoU=0.50:0.95 | area= large | maxDets=100 ], 0.378, 0.376, 0.389, 0.384, 0.422, 0.422, 0.420, 0.471, 0.437, 0.463, 0.490, 0.479, 0.460, 0.514, 0.443, 0.544, 0.568, 0.487, 0.548, 0.501












